question,answer,studentAnswer,count,# correct,
is this a 16 week course,no,no,1,1,
does project 1 begin on week 3,yes,yes,2,2,
is project 1 due on week 6,yes,yes,3,3,
do I submit projects to canvas,yes,no,4,3,
can I get assignment 1 in week 6,yes,yes,5,4,
do I have 1 week to complete assignment 1,yes,yes,6,5,
is there a midterm,yes,no,7,5,
is the final during week 9,yes,no,8,5,
do I need to check piazza everyday,idk,idk,9,6,
do I turn in my project as a pdf,no,yes,10,6,
do I turn in my assignments as zip files,no,no,11,7,
are there 2 projects,no,no,12,8,
is the midterm after assignment 1,yes,idk,13,8,
will I have 3 weeks to finish project 1,yes,yes,14,9,
can I start project 1 in week 2,no,no,15,10,
do I need to check Piazza regularly,idk,idk,16,11,
will I learn human cognition,idk,idk,17,12,
is project 1 worth 15%,idk,idk,18,13,
is assignment 1 worth 20%,idk,idk,19,14,
does this class teach knowledge-based AI,idk,idk,20,15,
are projects distributed on Canvas,idk,no,21,15,
does this class have projects and assignments,yes,no,22,15,
is there a final in this class,yes,no,23,15,
are there many projects,no,no,24,16,
can I submit projects to Piazza,no,no,25,17,
should I code my projects in Python,idk,no,26,17,
does project 1 contribute 15% to my grade,idk,idk,27,18,
do I need to write a report for project 1,idk,idk,28,19,
do I need to check Piazza regularly,idk,idk,29,20,
if I turn in project 1 late do I get credit,idk,idk,30,21,
is Piazza the preferred method of collaboration,idk,idk,31,22,


count,match,
31,22,

